"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-RE-PU-UTC-2025-001-2671","RE-PU-UTC-2025-001-2671-2025-06-14T16:05:31.716Z-compiled","2267258-RE-PU-UTC-2025-001","7992715-RE-PU-UTC-2025-001","","","terminated","2025-04-25T00:00:00-05:00","2027-04-25T00:00:00-05:00","","730","728059.68","USD","2025-04-25T00:00:00-05:00"
"ocds-5wno2w-RE-PU-UNAE-2025-003-607247","RE-PU-UNAE-2025-003-607247-2025-05-08T12:36:23.644Z-compiled","2261953-RE-PU-UNAE-2025-003","8003196-RE-PU-UNAE-2025-003","","","terminated","2025-04-30T00:00:00-05:00","2026-04-30T00:00:00-05:00","","365","78380.80","USD","2025-04-30T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CMFIEDM-2025-003-748941","RE-PU-CMFIEDM-2025-003-748941-2025-04-10T12:37:46.120Z-compiled","2258845-RE-PU-CMFIEDM-2025-003","7973340-RE-PU-CMFIEDM-2025-003","","","terminated","2025-04-08T00:00:00-05:00","2025-04-23T00:00:00-05:00","","15","40310.00","USD","2025-04-08T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CEE-2025-002-2504","RE-PU-CEE-2025-002-2504-2025-05-17T12:56:17.735Z-compiled","2263375-RE-PU-CEE-2025-002","8003025-RE-PU-CEE-2025-002","","","terminated","2025-05-09T00:00:00-05:00","2025-08-07T00:00:00-05:00","","90","83440.03","USD","2025-05-09T00:00:00-05:00"
"ocds-5wno2w-RE-PU-1BI-2025-001-103880","RE-PU-1BI-2025-001-103880-2025-05-21T15:10:15.359Z-compiled","2263809-RE-PU-1BI-2025-001","8003547-RE-PU-1BI-2025-001","","","terminated","2025-05-14T00:00:00-05:00","2026-01-06T00:00:00-05:00","","237","6166.71","USD","2025-05-14T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EPN-2025-001-45554","RE-PU-EPN-2025-001-45554-2025-06-12T15:57:53.394Z-compiled","2266793-RE-PU-EPN-2025-001","8002950-RE-PU-EPN-2025-001","","","terminated","2025-06-06T00:00:00-05:00","2025-08-05T00:00:00-05:00","","60","9300.00","USD","2025-06-06T00:00:00-05:00"
"ocds-5wno2w-RE-PU-DDS05D01-2025-00002-2489","RE-PU-DDS05D01-2025-00002-2489-2025-05-09T12:33:42.522Z-compiled","2262151-RE-PU-DDS05D01-2025-00002","8004693-RE-PU-DDS05D01-2025-00002","","","terminated","2025-05-07T00:00:00-05:00","2025-10-04T00:00:00-05:00","","150","15188.53","USD","2025-05-07T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CONGOPE-2025-002-69008","RE-PU-CONGOPE-2025-002-69008-2025-05-10T12:46:11.356Z-compiled","2262293-RE-PU-CONGOPE-2025-002","8003219-RE-PU-CONGOPE-2025-002","","","terminated","2025-05-06T00:00:00-05:00","2025-05-21T00:00:00-05:00","","15","29040.00","USD","2025-05-06T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EPMAPS-2025-001-258814","RE-PU-EPMAPS-2025-001-258814-2025-05-30T15:32:25.122Z-compiled","2264998-RE-PU-EPMAPS-2025-001","8005083-RE-PU-EPMAPS-2025-001","","","terminated","2025-05-27T00:00:00-05:00","2025-12-23T00:00:00-05:00","","210","63111.41","USD","2025-05-27T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CGFAE-2025-001-2679","RE-PU-CGFAE-2025-001-2679-2025-05-20T15:12:47.539Z-compiled","2263468-RE-PU-CGFAE-2025-001","8004426-RE-PU-CGFAE-2025-001","","","terminated","2025-05-08T00:00:00-05:00","2025-12-24T00:00:00-05:00","","230","49544.00","USD","2025-05-08T00:00:00-05:00"
"ocds-5wno2w-RE-PU-UNAE-2025-004-607247","RE-PU-UNAE-2025-004-607247-2025-05-30T15:32:24.217Z-compiled","2265001-RE-PU-UNAE-2025-004","8005088-RE-PU-UNAE-2025-004","","","terminated","2025-05-27T00:00:00-05:00","2026-05-22T00:00:00-05:00","","360","49000.00","USD","2025-05-27T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HCAM-2025-008-54651","RE-PU-HCAM-2025-008-54651-2025-06-02T15:35:56.780Z-compiled","2265308-RE-PU-HCAM-2025-008","8005064-RE-PU-HCAM-2025-008","","","terminated","2025-05-28T00:00:00-05:00","2026-02-22T00:00:00-05:00","","270","298002.90","USD","2025-05-27T00:00:00-05:00"
"ocds-5wno2w-RE-PU-MEF-2025-002-2468","RE-PU-MEF-2025-002-2468-2025-07-05T17:45:32.323Z-compiled","2270695-RE-PU-MEF-2025-002","8045172-RE-PU-MEF-2025-002","","","terminated","2025-06-26T00:00:00-05:00","2025-09-24T00:00:00-05:00","","90","317048.00","USD","2025-06-26T00:00:00-05:00"
"ocds-5wno2w-RE-PU-IIIDE-2025-001-104585","RE-PU-IIIDE-2025-001-104585-2025-04-15T12:50:35.857Z-compiled","2259232-RE-PU-IIIDE-2025-001","7925664-RE-PU-IIIDE-2025-001","","","terminated","2025-04-10T00:00:00-05:00","2025-12-26T00:00:00-05:00","","260","50000.00","USD","2025-04-10T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HGONA-2025-002-730708","RE-PU-HGONA-2025-002-730708-2025-06-27T16:25:05.590Z-compiled","2269465-RE-PU-HGONA-2025-002","8017273-RE-PU-HGONA-2025-002","","","terminated","2025-05-13T00:00:00-05:00","2026-02-07T00:00:00-05:00","","270","11970.00","USD","2025-05-13T00:00:00-05:00"
"ocds-5wno2w-RE-PU-INSPI-CZ9-2025-00001-770241","RE-PU-INSPI-CZ9-2025-00001-770241-2025-10-16T19:58:25.985Z-compiled","2263164-RE-PU-INSPI-CZ9-2025-00001","7985659-RE-PU-INSPI-CZ9-2025-00001","","","terminated","2025-05-14T00:00:00-05:00","2025-08-12T00:00:00-05:00","","90","9114.00","USD","2025-05-14T00:00:00-05:00"
"ocds-5wno2w-RE-PU-DHG-2025-006-5702","RE-PU-DHG-2025-006-5702-2025-06-25T16:27:40.752Z-compiled","2269105-RE-PU-DHG-2025-006","8046164-RE-PU-DHG-2025-006","","","terminated","2025-05-26T00:00:00-05:00","2026-05-26T00:00:00-05:00","","365","18272.00","USD","2025-05-26T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CNELEP-2025-2-462114","RE-PU-CNELEP-2025-2-462114-2025-09-03T19:12:01.796Z-compiled","2268649-RE-PU-CNELEP-2025-2","8026872-RE-PU-CNELEP-2025-2","","","terminated","2025-06-23T00:00:00-05:00","2027-06-23T00:00:00-05:00","","730","132264.58","USD","2025-06-20T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CCFFAA-2025-002-2539","RE-PU-CCFFAA-2025-002-2539-2025-05-09T12:33:38.089Z-compiled","2262128-RE-PU-CCFFAA-2025-002","7972036-RE-PU-CCFFAA-2025-002","","","terminated","2025-05-05T00:00:00-05:00","2026-01-20T00:00:00-05:00","","260","1750.00","USD","2025-05-05T00:00:00-05:00"
"ocds-5wno2w-RE-PU-BCE-2025-002-2457","RE-PU-BCE-2025-002-2457-2025-07-07T17:52:03.776Z-compiled","2267996-RE-PU-BCE-2025-002","8005099-RE-PU-BCE-2025-002","","","terminated","2025-06-17T00:00:00-05:00","2025-10-15T00:00:00-05:00","","120","48475.20","USD","2025-06-17T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CEE-2025-003-2504","RE-PU-CEE-2025-003-2504-2025-05-29T15:29:50.302Z-compiled","2264909-RE-PU-CEE-2025-003","8022959-RE-PU-CEE-2025-003","","","terminated","2025-05-27T00:00:00-05:00","2025-09-24T00:00:00-05:00","","120","130000.00","USD","2025-05-27T00:00:00-05:00"
"ocds-5wno2w-RE-PU-ESPOL-2025-001-26822","RE-PU-ESPOL-2025-001-26822-2025-05-30T15:32:26.069Z-compiled","2265127-RE-PU-ESPOL-2025-001","8025479-RE-PU-ESPOL-2025-001","","","terminated","2025-05-28T00:00:00-05:00","2025-08-26T00:00:00-05:00","","90","16700.00","USD","2025-05-28T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CNT-2025-673-236009","RE-PU-CNT-2025-673-236009-2025-07-02T17:39:17.073Z-compiled","2270019-RE-PU-CNT-2025-673","8033659-RE-PU-CNT-2025-673","","","terminated","2025-05-29T00:00:00-05:00","2027-05-29T00:00:00-05:00","","730","170000.00","USD","2025-05-28T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CNT-2025-673-236009","RE-PU-CNT-2025-673-236009-2025-07-02T17:39:17.073Z-compiled","2270021-RE-PU-CNT-2025-673","8033663-RE-PU-CNT-2025-673","","","terminated","2025-05-28T00:00:00-05:00","2027-05-28T00:00:00-05:00","","730","9600.00","USD","2025-05-28T00:00:00-05:00"
"ocds-5wno2w-RE-PU-GADMCEV-2025-003-2760","RE-PU-GADMCEV-2025-003-2760-2025-06-17T16:51:51.291Z-compiled","2267624-RE-PU-GADMCEV-2025-003","8016861-RE-PU-GADMCEV-2025-003","","","terminated","2025-06-12T00:00:00-05:00","2026-06-12T00:00:00-05:00","","365","8000.00","USD","2025-06-12T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HGONA-2025-003-730708","RE-PU-HGONA-2025-003-730708-2025-06-27T16:25:07.934Z-compiled","2269458-RE-PU-HGONA-2025-003","8026359-RE-PU-HGONA-2025-003","","","terminated","2025-05-15T00:00:00-05:00","2026-02-09T00:00:00-05:00","","270","28275.12","USD","2025-05-15T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EMS-2025-001-309632","RE-PU-EMS-2025-001-309632-2025-06-03T15:39:35.466Z-compiled","2265436-RE-PU-EMS-2025-001","8016561-RE-PU-EMS-2025-001","","","terminated","2025-05-30T00:00:00-05:00","2027-05-30T00:00:00-05:00","","730","169493.18","USD","2025-05-29T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EMAPA-I-2025-002-316213","RE-PU-EMAPA-I-2025-002-316213-2025-09-24T18:51:46.183Z-compiled","2280813-RE-PU-EMAPA-I-2025-002","8016772-RE-PU-EMAPA-I-2025-002","","","terminated","2025-06-02T00:00:00-05:00","2025-07-02T00:00:00-05:00","","30","18500.00","USD","2025-06-02T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HOSNAG-2025-003-2706","RE-PU-HOSNAG-2025-003-2706-2025-08-14T17:37:13.957Z-compiled","2263962-RE-PU-HOSNAG-2025-003","8032043-RE-PU-HOSNAG-2025-003","","","terminated","2025-05-09T00:00:00-05:00","2025-05-24T00:00:00-05:00","","15","8700.00","USD","2025-05-09T00:00:00-05:00"
"ocds-5wno2w-RE-PU-UG-2025-001-55840","RE-PU-UG-2025-001-55840-2025-05-08T12:36:24.042Z-compiled","2261768-RE-PU-UG-2025-001","7998838-RE-PU-UG-2025-001","","","terminated","2025-05-01T00:00:00-05:00","2026-05-06T00:00:00-05:00","","370","454378.65","USD","2025-05-01T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CELECEP-2025-08062-238940","RE-PU-CELECEP-2025-08062-238940-2025-07-10T17:26:44.170Z-compiled","2266721-RE-PU-CELECEP-2025-08062","8030850-RE-PU-CELECEP-2025-08062","","","terminated","2025-06-24T00:00:00-05:00","2025-10-02T00:00:00-05:00","","100","140788.65","USD","2025-06-09T00:00:00-05:00"
